Student ID,Cmap: Information retrieval,BL: Computer vision,Cmap: Evolutionary computation,Eerste werkgroep presentatie,Wetenschappelijke samenvatting,Deeltoets 1,BL: Belief-Desire-Intention (BDI) Framework,Cmap: What is a Knowledge Representation?,BL: Deep learning,Tweede werkgroep presentatie,Academische Poster,Deeltoets 2,Eindcijfer
81,6.00,8.00,6.00,6.00,7.00,6.50,9.00,7.00,6.00,8.00,7.00,7.00,7.07
76,6.00,8.00,6.00,6.00,6.00,3.00,9.00,7.00,6.00,8.00,7.00,2.50,4.94
44,6.00,7.00,8.00,6.00,7.00,3.00,8.00,7.00,7.00,8.00,7.50,4.00,5.54
59,6.00,7.00,5.00,6.00,7.00,3.50,7.00,7.00,7.00,7.00,7.25,4.50,5.59
55,9.00,6.00,7.00,7.50,5.00,5.00,7.00,7.00,9.00,8.00,7.75,7.50,6.82
106,9.00,7.00,8.00,6.00,7.00,4.50,7.00,8.00,6.00,7.00,7.50,4.50,6.08
98,5.00,6.00,4.00,7.00,6.00,6.50,7.00,8.00,7.00,0.00,6.50,4.50,5.84
78,9.00,7.00,7.00,6.00,8.00,5.00,9.00,8.00,8.00,8.00,7.25,2.00,5.81
2,9.00,9.00,8.00,9.00,8.00,5.00,9.00,8.00,8.00,8.00,8.50,7.50,7.55
84,6.00,7.00,5.00,9.00,4.00,4.50,6.00,7.00,0.00,7.00,8.25,5.00,5.54
66,9.00,8.00,7.00,9.00,9.50,8.50,9.00,8.00,9.00,9.00,7.75,8.50,8.77
153,6.00,8.00,6.00,6.00,6.00,6.00,9.00,7.00,6.00,8.00,6.25,4.50,6.10
63,6.00,7.00,7.00,7.00,6.00,5.50,8.00,7.00,7.00,6.00,8.25,6.00,6.57
111,7.00,7.00,6.50,8.00,7.50,5.00,8.00,5.50,7.50,7.00,8.75,5.50,6.62
61,6.00,5.00,6.00,7.00,6.00,5.00,0.00,6.00,7.00,7.00,6.50,5.00,5.59
28,6.00,8.00,7.00,6.00,8.00,6.50,7.00,8.00,9.00,8.00,6.75,7.00,7.27
58,6.00,7.00,6.00,7.00,6.00,5.50,7.00,6.00,6.00,7.00,8.00,2.00,5.43
147,6.00,8.00,4.00,8.50,7.50,4.00,8.00,8.00,6.50,6.50,7.25,4.50,5.90
70,8.00,8.50,7.00,8.00,7.00,4.50,8.50,7.50,7.00,7.50,7.50,6.00,6.59
113,6.00,8.00,7.00,7.00,9.00,6.00,8.00,7.00,7.00,6.00,8.25,7.00,7.35
130,6.00,5.00,4.00,7.00,7.00,5.00,9.00,6.00,7.00,6.00,6.50,2.50,5.30
112,7.00,9.00,8.00,8.00,8.50,6.50,9.00,8.00,8.00,9.00,7.50,8.50,8.04
94,6.00,8.00,4.50,7.00,6.00,6.50,8.00,8.00,6.50,5.50,9.00,4.50,6.48
149,5.00,8.00,7.00,8.00,7.00,6.50,8.00,5.00,7.00,8.00,7.25,8.50,7.48
127,8.00,8.00,8.00,7.00,6.50,4.00,9.00,8.00,8.00,7.00,7.50,6.50,6.56
71,9.00,8.00,7.00,7.00,7.00,4.50,8.00,7.00,6.00,7.00,9.00,6.50,6.80
25,9.00,8.00,8.00,7.50,7.50,5.50,8.00,7.00,8.00,8.50,8.00,6.00,7.03
47,6.00,7.00,7.00,7.00,8.00,6.50,7.00,8.50,6.00,8.00,7.75,6.00,7.06
90,7.00,7.00,8.00,6.00,7.00,5.50,9.00,7.00,7.00,6.00,7.75,4.50,6.32
45,9.00,8.00,6.00,9.00,9.00,9.00,9.00,7.00,8.00,8.00,8.75,10.00,9.19
64,5.00,8.00,7.00,8.00,8.50,5.00,8.00,5.00,7.00,8.00,8.75,4.50,6.48
131,9.00,7.00,6.00,8.00,7.50,6.00,7.00,6.00,8.00,7.00,7.75,3.00,6.17
74,8.00,8.50,7.50,8.50,8.00,6.50,8.50,8.00,8.50,8.50,8.75,2.00,6.51
4,9.00,8.00,8.00,7.00,9.00,5.00,9.00,8.00,9.00,9.00,8.25,4.00,6.73
13,3.00,5.00,6.00,8.00,6.00,6.50,8.00,7.00,6.00,9.00,7.00,2.50,5.68
116,9.00,6.00,7.00,9.00,8.00,5.50,7.00,7.00,6.00,8.00,9.00,5.50,6.92
97,9.00,8.00,6.00,8.00,8.00,5.50,9.00,8.00,6.00,7.00,8.00,2.00,5.99
91,6.00,5.00,6.00,8.00,5.00,8.50,6.00,7.00,6.00,6.50,7.75,6.00,6.97
