ID,W1WG2: CM - Information retrieval,"W2WG2: BL - AI, a modern approach (ch 1)",W3WG1:  CM - Evolutionary robotics,presentation 1,samenvatting (groep),DT1,W5WG1: BL - Complex adaptive systems,W6WG1: CM - Knowledge representation,W7WG1: BL - Deep learning,presentation 2,Poster presentation (group),DT2,Eindcijfer
6,6.0,6.0,6.0,7.5,7.00,6.5,8.5,0.0,8.0,7.5,7.75,3.0,5.89
8,6.0,5.0,7.0,8.0,5.50,6.5,6.0,5.0,5.0,7.0,6.00,5.0,5.96
9,6.0,5.0,7.0,7.0,5.00,5.0,6.0,5.0,5.0,7.0,6.00,6.0,5.74
10,8.0,7.0,7.0,8.0,8.00,8.5,7.0,6.0,7.0,6.0,5.25,6.5,7.30
11,7.0,8.0,9.0,8.0,7.00,4.5,9.0,6.0,8.0,8.0,8.75,5.5,6.60
12,8.0,5.0,5.0,6.0,6.00,5.5,6.0,6.0,7.0,7.0,5.75,5.0,5.78
13,7.0,8.0,7.0,7.0,7.50,6.5,8.0,6.0,9.0,7.0,7.50,4.5,6.63
14,7.0,5.0,6.0,6.0,6.50,6.0,6.0,6.0,6.0,7.0,8.00,4.5,6.09
16,5.4,6.0,6.0,7.0,7.00,6.0,7.0,6.0,6.0,7.0,8.00,4.0,6.08
17,7.0,8.0,7.0,7.0,7.50,7.0,8.0,6.0,9.0,7.0,8.50,7.0,7.50
18,6.0,8.0,7.0,7.0,6.50,4.5,7.0,6.0,7.0,7.0,7.25,4.0,5.70
20,8.0,7.0,7.0,9.0,7.00,5.0,9.0,6.0,6.0,9.0,8.25,5.0,6.46
21,6.0,9.0,7.0,9.0,5.50,6.0,7.0,6.0,7.0,7.0,8.50,6.5,6.83
22,8.0,7.0,7.0,9.0,8.00,7.5,9.0,6.0,6.0,9.0,8.25,6.5,7.59
23,8.0,8.0,8.0,6.0,7.50,4.0,8.0,6.0,7.0,8.0,8.75,6.0,6.53
24,7.0,8.0,9.0,8.0,8.50,9.0,9.0,6.0,9.0,8.0,8.75,8.0,8.57
25,7.0,7.0,8.0,7.0,8.50,8.0,8.0,6.0,8.0,8.0,8.50,7.5,8.00
26,6.0,5.0,5.5,6.5,6.00,5.5,7.0,6.0,6.5,4.0,6.75,6.0,6.05
27,7.0,7.0,7.0,9.0,4.00,3.5,8.0,6.0,7.0,8.0,8.00,4.0,5.36
28,6.0,9.0,7.0,6.0,7.50,7.5,8.0,6.0,7.0,8.0,8.00,6.5,7.37
29,5.4,6.0,6.0,7.0,5.50,5.0,7.0,6.0,6.0,7.0,8.00,6.0,6.14
30,6.0,7.0,9.0,7.0,8.00,7.5,9.0,6.0,8.0,7.0,8.25,5.5,7.28
31,7.0,8.0,7.0,7.0,7.50,7.0,8.0,6.0,9.0,7.0,8.00,6.5,7.31
32,8.0,8.0,8.0,6.0,6.00,6.5,8.0,6.0,7.0,8.0,8.75,3.0,6.22
33,7.0,7.0,8.0,7.0,6.00,7.0,8.0,6.0,8.0,8.0,8.50,6.0,7.06
34,6.0,8.0,6.0,7.0,8.50,8.0,7.0,6.0,8.0,6.0,6.75,8.0,7.74
35,6.0,5.0,5.5,6.5,6.00,4.0,7.0,6.0,6.5,4.0,6.25,3.0,4.86
36,7.0,7.0,7.0,9.0,7.50,7.5,8.0,6.0,7.0,8.0,8.00,5.5,7.18
37,5.0,7.0,7.0,5.0,7.00,6.0,7.0,6.0,7.0,8.0,8.50,6.0,6.70
38,7.0,5.0,6.0,6.0,5.50,3.5,6.0,6.0,6.0,7.0,8.00,4.5,5.34
39,5.0,7.0,7.0,5.0,7.00,6.5,7.0,6.0,7.0,8.0,8.50,7.0,7.07
40,5.0,7.0,6.0,7.0,7.50,6.5,7.0,6.0,8.0,8.0,8.25,6.5,7.04
41,6.0,8.0,7.0,7.0,5.50,6.0,7.0,6.0,7.0,7.0,7.25,6.0,6.45
42,8.0,7.0,7.0,8.0,6.50,6.0,7.0,6.0,7.0,6.0,6.00,5.0,6.21
43,7.0,7.0,7.0,7.0,8.50,5.0,8.0,6.0,7.0,6.0,5.75,6.0,6.40
44,8.0,5.0,5.0,6.0,6.50,5.0,6.0,6.0,7.0,7.0,5.75,3.5,5.35
45,6.0,5.0,5.0,7.0,5.00,5.5,6.0,6.5,6.0,7.0,5.75,4.5,5.48
46,5.0,5.0,6.0,7.0,8.50,5.0,6.0,6.5,7.0,7.0,7.25,7.0,6.64
47,5.0,5.0,6.0,7.0,6.50,8.0,6.0,6.5,7.0,7.0,6.25,6.0,6.76
48,6.0,5.0,5.0,7.0,5.00,6.0,6.0,6.5,6.0,7.0,6.00,4.5,5.64
