ID,Week 1b: BL Deep Learning,Week 2a: CM - Information Retrieval,Week 3a: CM - Evolutionary Computation,Eerste Werkcollege Presentatie,Deeltoets 01,Week 5a: BL - Computer Vision,Week 6a: CM - Virtual Agents,Week 7a: KAVV - Turing ,Tweede Werkcollege Presentatie,Eindversie Poster,Deeltoets 02,Eindcijfer UvA
1,9,6,8,7,8.1,9,8,9,6,8.5,5.9,8
2,7,4.5,8,7,6.5,6.5,6,4,5,6.7,5.9,6.5
3,8,7,8,8,5.2,7,8,7,6,8.2,6.6,7
4,8,6,7.5,6.5,8.4,9,8,9,8.5,7.9,8.1,8.5
7,8,7,8,8,9,7,8,7,6,8.2,5.9,8
8,9,8,8,9,7.8,7,7,9,8,9.1,7.4,8.5
9,9,6,5,6,6.1,9,7,6,7,6,4.4,6
10,5,6,9,8,7.4,7,9,9,8,7.9,5.9,7.5
11,8,7,7,8,6.1,9,7.5,6,7.5,8.5,7.4,7.5
12,8,6,7,7,4.9,9,6.5,8,7.5,8.5,6.6,7
13,8,7,6,6,8.7,8,8,6,7,8.8,7.4,8
14,8,8,9,7,7.1,9,9,7,8,8.2,7.4,8
15,7,7,8,7.5,7.1,6,8,7,7.5,7.9,7,7.5
16,9,5,7,7,7.8,7,7,7,7.5,8.8,4.4,7
17,9,8,8,8,7.8,9,8,7,7.5,8.8,5.9,8
19,8,7,7,8,4.5,9,6,6,7.5,6.4,6.6,6.5
20,8,6,7.5,9,8.7,7.5,8,7,8,7,7.4,8
21,6,6,8,7,7.8,8,9,7,7,6.7,5.1,7
22,8,9,8,6,2.9,7,8,7,7,6.7,6.3,6
23,4,5,5,7,6.5,5,6,9,6,9.4,5.5,6.5
24,8,7,8,8,8.1,7,7,7,7.5,8.8,7,8
25,8,8,7,8,7.1,7,6,8,8,9.4,3.3,7
26,6,6,8,8,7.1,8,8,0,7.5,7.3,6.3,7
27,6,5,8,7.5,8.1,7,9,6,7.5,7.9,8.1,8
28,9,6,8,8,6.8,8,8,0,7,8.8,4,6.5
29,8,8,7,9,7.4,7.5,7,9,8.5,8.5,6.6,8
30,0,5,8,6,7.4,8,7,7,7,6.4,8.1,7
32,8,7,7,8,5.8,9,6,6,7.5,6.4,3.3,6
33,8,6,7,7,5.2,9,6.5,8,7.5,8.5,7,7
34,8,8,8,6.5,7.4,9,8,9,7,7.6,6.6,7.5
35,8,4.5,6,7,7.1,7,6,6,5,6.7,3.6,6
36,9,8,6,7.5,6.1,9,8,4,7.5,6.7,3.6,6.5
37,7,7,4,9,6.5,5,5,5.5,8.5,9.4,4.8,7
38,7,5.5,8,7,7.4,7,7.5,4,7,8.2,6.3,7.0
39,8,7,8,7,7.8,9,9,9,6,9.4,6.3,8
40,9,8,5,9,7.1,8,7,9,7,7.3,7,7.5
41,8,7.5,7.5,8,6.1,7.5,7,8,8,7.9,4.8,7
42,7.5,8,7.5,8,7.8,9,7,7.5,8,6.7,7.8,8
43,9,8,7,7,4.2,8,7.5,8,8,7.3,6.6,7
44,8,8.5,8,7,8.4,7.5,8,7,8.5,7.9,4,7.5
45,8,9,9,5,6.8,8,8,9,8,7.6,7,7.5
47,7,6,7,7,6.1,7,6,5,8,8.2,6.6,7
48,8,9,8,8,7.1,8,9,9,7,8.5,7,8
50,8,8,8,8,8.7,8,8,9,9,9.4,7.4,8.5
51,8,5.5,5,7,4.9,9,6.5,8,8,8.5,7.8,7
52,8,7.5,7.5,8,6.8,7.5,7,8,8,7.3,5.9,7
53,8,7.5,8,8,7.8,7.5,7.5,7,8.5,6.4,7,7.5
54,8,8,7,8,5.2,7.5,7,9,8.5,8.5,4.8,7
55,9,6,8,7,7.1,9,8,9,6,8.5,5.5,7.5
56,6,5,8,7.5,5.5,7,9,6,7.5,7.9,5.9,7
57,7,6,7,6,7.4,8,6,5,7,8.2,5.9,7
58,6,7,6,5,7.1,6,9,9,9,9.4,6.6,7.5
59,8,7,7,8,4.2,9,7.5,7,8,6.7,5.5,6.5
60,7,7,5,6,5.8,5,6,5,7,5.7,4.8,6
61,6,7,6,5,8.7,6,9,9,9,9.4,6.6,8
62,8,5,7,8,7.1,8,9,6,7.5,8.8,5.5,7.5
64,6.5,6,5,4.5,6.5,7,5,5,7,5.7,3.6,6
65,9,8,8,7,9,9,8,9,7,7.6,6.6,8
66,9,8,8,8,8.4,9,8,7,7.5,8.2,6.3,8
67,7,6,7,6,8.7,7,6,5,7,6.7,6.6,7.5
68,8,6,7,6.5,7.8,8,7,0,6,6,6.6,7
69,7,7,9,7,7.8,8,9,9,7.5,6.7,5.5,7.5
70,7,7,8,7,7.1,7,8,7,8,8.2,8.5,8
71,6,7,8,8,6.5,7,8,7,6,8.2,7,7.5
72,7,7,6,6,7.4,6,5,6,7,5.7,6.3,6.5
74,7,6,5,4.5,5.8,7,5,4,7,5.7,7.8,6.5
75,8,5,7,8,5.2,8,9,6,7.5,8.8,5.9,7
76,6,6,8,7,6.5,8,9,7,7,6.7,5.5,7
77,7,7,9,7,8.1,8,9,9,7.5,6.7,4.8,7.5
78,8,7,6,6,9,8,8,6,7,8.2,7,8
79,8,7,8,8,7.1,7,7,6,7.5,8.8,5.1,7
80,8,9,8,8,5.5,8,9,8,8,7.6,5.5,7
82,7,8,6,8,7.1,6,6,6,8,9.1,6.6,7.5
83,6,7,8,8,8.1,7,8,9,8,7.6,5.9,7.5
84,8,9,8,8,6.8,8,9,9,7,7.3,3.3,7
85,8,6,7.5,9,8.4,7.5,8,7,8,7,6.3,7.5
86,7,7,7,7.5,7.1,8,7.5,5.5,6.5,7.3,6.6,7
89,7,8,7,8,8.1,7,8,7,8.5,6.4,8.9,8
91,9,8,8,7,8.7,9,8,9,7,7.6,6.6,8
93,8,8,8,6.5,5.8,9,8,9,7,7.6,5.5,7
94,9,8,6,7.5,8.1,9,8,4,7.5,6.7,9.6,8.5
95,6,7,8,8,5.8,7,8,9,8,7.6,3.6,6.5
96,8,8.5,8,7,8.7,7.5,8,7,8.5,7,5.1,7.5
97,8,7.5,8,8,7.8,7.5,7.5,7,8.5,6.4,3.6,7
98,9,8,5,9,6.5,8,7,9,7,7.9,5.1,7
